# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-103 c,Confirmed,0.18397,0.03596,0.03514,,,,0.486568,0.015577,0.01579,179.60978,0.0002,0.0002,0.6679,0.008,0.019,0.1,0.068,0.092,89.704,0.055,0.12,,2014,2019-10-09,344.0,60.0,80.0,,,,,,,2455667.15973,0.00044,0.00044,,,,,,,0.44,0.02,0.02,,,,5.9,1.1,1.1,,,,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,,,,Kepler-103,288.859541675,40.0645277904,12.287,12.132,11.193,10.941,10.873,473.56,14.51,14.51,0.07,0.11,0.11,1.099,0.03,0.019,1.455,0.013,0.024,,6.67,0.62,0.69,5845.0,88.0,88.0,,,"KOI-108, KIC 4914423"
Kepler-1030 b,Confirmed,,,,,,,0.221,0.016,0.011,19.32952416,7.474e-05,7.474e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1030,293.681915,45.817559,,,14.197,13.711,13.578,795.0,,,-0.01,0.161,0.154,0.8,0.04,0.04,0.76,0.04,0.04,,,,,4983.0,85.01,78.38,,,
Kepler-1031 b,Confirmed,,,,,,,0.078,0.01,0.019,1.22621732,4.51e-06,4.51e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1031,296.089747,48.955376,,,12.702,12.401,12.353,741.0,,,0.03,0.17,0.136,1.09,0.07,0.1,1.12,0.13,0.27,,,,,6011.0,133.3,125.91,,,
Kepler-1032 b,Confirmed,,,,,,,0.167,0.007,0.009,3.29011795,5.05e-06,5.05e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1032,289.930872,40.097751,,,13.926,13.361,13.301,607.0,,,0.16,0.211,0.103,0.77,0.03,0.03,0.71,0.02,0.02,,,,,4647.0,84.37,57.14,,,
Kepler-1033 b,Confirmed,,,,,,,0.224,0.016,0.037,7.56052806,2.405e-05,2.405e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1033,283.845142,44.609093,,,14.684,14.381,14.283,1425.0,,,0.06,0.156,0.147,0.94,0.04,0.04,0.92,0.06,0.15,,,,,5547.0,66.49,59.76,,,
Kepler-1034 b,Confirmed,,,,,,,0.202,0.012,0.015,12.12400943,3.32e-05,3.32e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1034,286.115368,37.966997,,,13.719,13.252,13.158,706.0,,,-0.06,0.172,0.148,0.83,0.04,0.04,0.8,0.05,0.05,,,,,5198.0,86.25,102.36,,,
Kepler-1035 b,Confirmed,,,,,,,0.104,0.01,0.025,2.71407755,3.71e-06,3.71e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1035,289.042225,42.882488,,,11.817,11.459,11.416,408.0,,,-0.03,0.183,0.135,0.98,0.06,0.06,0.97,0.09,0.23,,,,,5763.0,121.15,114.35,,,
Kepler-1036 b,Confirmed,,,,,,,0.269,0.047,0.012,122.8808058,0.000709,0.000709,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1036,295.181638,49.945786,,,12.521,12.207,12.124,507.0,,,0.04,0.099,0.105,0.95,0.04,0.03,0.89,0.03,0.04,,,,,5533.0,69.58,83.31,,,
Kepler-1037 b,Confirmed,,,,,,,0.114,0.006,0.008,1.06378867,1.26e-06,1.26e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1037,296.341029,47.170856,,,12.821,12.327,12.248,451.0,,,-0.03,0.164,0.139,0.82,0.04,0.04,0.78,0.04,0.04,,,,,5105.0,70.71,96.95,,,
Kepler-1038 b,Confirmed,,,,,,,0.315,0.035,0.046,148.4603382,0.0006894,0.0006894,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1038,298.972184,44.132378,,,13.376,12.923,12.782,622.0,,,-0.04,0.176,0.158,0.87,0.06,0.07,0.83,0.06,0.09,,,,,5335.0,212.93,253.32,,,
Kepler-1039 b,Confirmed,,,,,,,0.13,0.02,0.008,0.93488424,8.7e-07,8.7e-07,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1039,298.326591,45.315514,,,12.424,11.863,11.753,324.0,,,0.01,0.164,0.15,0.79,0.04,0.05,0.74,0.04,0.04,,,,,4870.0,173.27,194.18,,,
Kepler-104 b,Confirmed,,,,,,,0.277,0.047,0.047,11.427548,1.5e-05,1.5e-05,0.094,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-104,287.60461425,42.166779,,,11.558,11.251,11.209,,,,-0.777,,,0.81,,,1.35,0.22,0.22,,,,,5711.0,74.0,74.0,,,
Kepler-104 c,Confirmed,,,,,,,0.279,0.049,0.049,23.668205,5.6e-05,5.6e-05,0.153,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-104,287.60461425,42.166779,,,11.558,11.251,11.209,,,,-0.777,,,0.81,,,1.35,0.22,0.22,,,,,5711.0,74.0,74.0,,,
Kepler-104 d,Confirmed,,,,,,,0.319,0.054,0.054,51.755394,0.00016,0.00016,0.257,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-104,287.60461425,42.166779,,,11.558,11.251,11.209,,,,-0.777,,,0.81,,,1.35,0.22,0.22,,,,,5711.0,74.0,74.0,,,
Kepler-1040 b,Confirmed,,,,,,,0.186,0.009,0.016,201.1214,0.001945,0.001945,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1040,283.113784,48.131393,,,12.181,11.845,11.772,473.0,,,0.01,0.102,0.094,0.98,0.04,0.04,0.96,0.05,0.06,,,,,5694.0,65.65,78.24,,,
Kepler-1041 b,Confirmed,,,,,,,0.262,0.047,0.055,24.7576421,0.0001112,0.0001112,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1041,293.881768,49.683155,,,13.405,13.096,13.034,979.0,,,0.01,0.175,0.136,1.06,0.07,0.07,1.08,0.11,0.23,,,,,5957.0,105.23,107.73,,,
Kepler-1042 b,Confirmed,,,,,,,0.195,0.014,0.01,10.13202575,3.028e-05,3.028e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1042,288.668933,39.824006,,,14.022,13.44,13.368,659.0,,,-0.1,0.195,0.153,0.75,0.05,0.04,0.72,0.05,0.03,,,,,4815.0,79.62,86.89,,,
Kepler-1043 b,Confirmed,,,,,,,0.227,0.021,0.035,38.5053398,0.0001785,0.0001785,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1043,281.662983,47.568584,,,13.604,13.197,13.195,838.0,,,-0.11,0.187,0.155,0.92,0.06,0.05,0.9,0.07,0.1,,,,,5629.0,67.58,73.19,,,
Kepler-1044 b,Confirmed,,,,,,,0.238,0.026,0.055,6.77408868,1.867e-05,1.867e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1044,293.144456,46.666237,,,14.268,13.967,13.903,1507.0,,,0.04,0.163,0.137,1.08,0.07,0.08,1.11,0.12,0.25,,,,,5985.0,124.51,112.26,,,
Kepler-1045 b,Confirmed,,,,,,,0.24,0.014,0.019,26.41045478,7.194e-05,7.194e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1045,284.183296,45.074104,,,14.249,13.842,13.757,971.0,,,-0.03,0.163,0.146,0.86,0.05,0.04,0.82,0.05,0.06,,,,,5301.0,59.81,56.01,,,
Kepler-1046 b,Confirmed,,,,,,,0.153,0.01,0.011,14.37508035,4.094e-05,4.094e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1046,296.755759,46.998291,,,12.123,11.829,11.73,518.0,,,0.0,0.092,0.089,1.04,0.04,0.04,1.04,0.06,0.07,,,,,5913.0,81.92,72.81,,,
Kepler-1047 b,Confirmed,,,,,,,0.186,0.015,0.023,56.1886887,0.0002756,0.0002756,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1047,288.646254,50.788982,,,12.174,11.872,11.803,566.0,,,0.29,0.062,0.065,1.08,0.04,0.05,1.13,0.09,0.14,,,,,5754.0,75.6,83.64,,,
Kepler-1047 c,Confirmed,,,,,,,0.088,0.008,0.012,3.18897601,2.038e-05,2.038e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1047,288.646254,50.788982,,,12.174,11.872,11.803,566.0,,,0.29,0.062,0.065,1.08,0.04,0.05,1.13,0.09,0.14,,,,,5754.0,75.6,83.64,,,
Kepler-1048 b,Confirmed,,,,,,,0.144,0.007,0.008,6.92101021,2.415e-05,2.415e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1048,281.898352,42.165787,,,13.131,12.539,12.447,415.0,,,0.01,0.16,0.149,0.75,0.04,0.03,0.7,0.03,0.03,,,,,4651.0,62.38,59.42,,,
Kepler-1049 b,Confirmed,,,,,,,0.085,0.014,0.009,3.27346074,5.31e-06,5.31e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1049,287.346741,47.772957,,,11.971,11.348,11.18,129.0,,,-0.33,0.078,0.083,0.51,0.03,0.03,0.49,0.03,0.03,,,,,3864.0,41.5,42.03,,,
Kepler-105 b,Confirmed,0.016,0.0129,0.0198,,,,0.24998,0.02159,0.01079,5.412,,,0.0609,,,0.47,0.47,0.05,85.94,3.88,1.87,,2014,2020-03-25,272.16,272.16,16.04,,,,,,,2454966.1424,,,,,,,,,0.64,0.17,0.26,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"K00115.01, KIC 9579641 b",,Kepler-105,287.88732915,46.276237,,,11.811,11.555,11.503,,,,-0.22,0.47,0.47,1.28,0.12,0.12,1.16,0.24,0.24,,,,,5873.0,100.0,100.0,,,KOI-115
Kepler-105 c,Confirmed,0.01447,0.00267,0.00289,,,,0.1169,0.0062,0.0062,7.1262,1.7e-05,1.7e-05,0.072,,,,,,,,,,2014,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,TTV,Primary Transit,,,Kepler-105,287.88732915,46.276237,,,11.811,11.555,11.503,,,,-0.22,0.47,0.47,1.28,0.12,0.12,1.16,0.24,0.24,,,,,5873.0,100.0,100.0,,,KOI-115
Kepler-1050 b,Confirmed,,,,,,,0.143,0.016,0.043,15.3787546,6.915e-05,6.915e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1050,282.924996,48.626392,,,12.042,11.753,11.717,555.0,,,0.03,0.165,0.141,1.09,0.07,0.08,1.13,0.12,0.29,,,,,6010.0,99.65,90.67,,,
Kepler-1050 c,Confirmed,,,,,,,0.132,0.014,0.031,21.1284569,0.000112,0.000112,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1050,282.924996,48.626392,,,12.042,11.753,11.717,555.0,,,0.03,0.165,0.141,1.09,0.07,0.08,1.13,0.12,0.29,,,,,6010.0,99.65,90.67,,,
Kepler-1051 b,Confirmed,,,,,,,0.303,0.06,0.11,25.96200249,8.634e-05,8.634e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1051,295.158106,40.898849,,,12.221,11.993,12.01,1021.0,,,0.04,0.166,0.13,1.43,0.16,0.22,1.73,0.34,0.62,,,,,6675.0,222.6,270.59,,,
Kepler-1052 b,Confirmed,,,,,,,0.261,0.028,0.048,34.8538276,0.000126,0.000126,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1052,295.342731,46.602264,,,13.727,13.393,13.305,1051.0,,,0.0,0.175,0.15,1.03,0.07,0.08,1.03,0.11,0.19,,,,,5888.0,173.26,160.5,,,
Kepler-1053 b,Confirmed,,,,,,,0.087,0.004,0.004,2.41435165,2.54e-06,2.54e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1053,291.418635,39.127415,,,11.334,10.736,10.585,171.0,,,0.1,0.171,0.16,0.74,0.04,0.03,0.69,0.03,0.03,,,,,4529.0,98.25,81.74,,,
Kepler-1054 b,Confirmed,,,,,,,0.235,0.047,0.103,4.30655689,1.426e-05,1.426e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1054,290.601152,44.556385,,,13.007,12.762,12.693,1050.0,,,0.09,0.138,0.143,1.22,0.1,0.18,1.34,0.2,0.58,,,,,6209.0,147.02,106.61,,,
Kepler-1055 b,Confirmed,,,,,,,0.11,0.005,0.006,2.29503623,3.47e-06,3.47e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1055,290.486779,44.932617,,,11.956,11.628,11.569,422.0,,,-0.02,0.099,0.098,0.98,0.04,0.03,0.94,0.04,0.04,,,,,5723.0,61.68,76.28,,,
Kepler-1056 b,Confirmed,,,,,,,0.269,0.054,0.119,27.495606,0.0001457,0.0001457,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1056,299.52598,46.899261,,,13.242,12.895,12.827,971.0,,,0.02,0.18,0.13,1.12,0.12,0.2,1.2,0.21,0.51,,,,,6127.0,285.27,199.75,,,
Kepler-1057 b,Confirmed,,,,,,,0.3,0.046,0.098,14.08827448,4.045e-05,4.045e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1057,297.452152,41.558124,,,14.336,13.977,13.924,1462.0,,,0.01,0.181,0.132,1.07,0.11,0.15,1.1,0.17,0.36,,,,,5987.0,296.99,293.78,,,
Kepler-1058 b,Confirmed,,,,,,,0.243,0.029,0.01,110.96546,0.001146,0.001146,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1058,294.595783,45.875034,,,13.729,13.133,13.005,525.0,,,-0.06,0.171,0.178,0.73,0.05,0.04,0.69,0.04,0.03,,,,,4644.0,112.73,89.85,,,
Kepler-1059 b,Confirmed,,,,,,,0.154,0.013,0.011,3.76419105,9.54e-06,9.54e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1059,289.220209,41.706486,,,13.993,13.427,13.351,673.0,,,-0.15,0.236,0.16,0.75,0.06,0.04,0.72,0.06,0.04,,,,,4906.0,62.34,81.53,,,
Kepler-106 b,Confirmed,,,,0.00047,0.0088,0.0088,0.073,0.01,0.01,6.16486,,,,,,,,,,,,,2014,2015-11-20,,,,,,,,,,,,,,,,,,,0.39,0.15,0.15,,,,0.05,0.9,0.9,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-106,300.863958342,44.3375555656,12.882,12.706,11.752,11.494,11.431,,,,-0.12,0.11,0.11,1.0,0.06,0.06,1.04,0.17,0.17,,4.83,,,5858.0,114.0,114.0,,,"KOI-116, KIC 8395660"
Kepler-106 c,Confirmed,0.03285,0.01,0.01,,,,0.223,0.029,0.029,13.5708,,,,,,,,,,,,,2014,2015-11-20,,,,,,,,,,,,,,,,,,,0.69,0.03,0.03,,,,2.71,0.08,0.08,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-106,300.863958342,44.3375555656,12.882,12.706,11.752,11.494,11.431,,,,-0.12,0.11,0.11,1.0,0.06,0.06,1.04,0.17,0.17,,4.83,,,5858.0,114.0,114.0,,,"KOI-116, KIC 8395660"
Kepler-106 d,Confirmed,0.025,0.025,0.0,,,,0.085,0.012,0.012,23.9802,,,,,,,,,,,,,2014,2015-11-20,,,,,,,,,,,,,,,,,,,0.45,0.11,0.11,,,,-2.84,0.9,0.9,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-106,300.863958342,44.3375555656,12.882,12.706,11.752,11.494,11.431,,,,-0.12,0.11,0.11,1.0,0.06,0.06,1.04,0.17,0.17,,4.83,,,5858.0,114.0,114.0,,,"KOI-116, KIC 8395660"
Kepler-106 e,Confirmed,,,,0.03514,0.018,0.018,0.228,0.029,0.029,43.8445,,,,,,,,,,,,,2014,2015-11-20,,,,,,,,,,,,,,,,,,,0.28,0.13,0.13,,,,1.95,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-106,300.863958342,44.3375555656,12.882,12.706,11.752,11.494,11.431,,,,-0.12,0.11,0.11,1.0,0.06,0.06,1.04,0.17,0.17,,4.83,,,5858.0,114.0,114.0,,,"KOI-116, KIC 8395660"
Kepler-1060 b,Confirmed,,,,,,,0.212,0.026,0.04,46.8779367,0.000305,0.000305,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1060,286.025189,39.630929,,,13.436,13.088,12.964,861.0,,,-0.03,0.192,0.155,0.99,0.07,0.08,0.99,0.11,0.19,,,,,5797.0,198.61,180.98,,,
Kepler-1061 b,Confirmed,,,,,,,0.177,0.033,0.01,2.75798267,3.88e-06,3.88e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1061,296.230004,50.27523,,,12.21,11.98,11.934,585.0,,,-0.03,0.101,0.096,1.09,0.04,0.04,1.07,0.05,0.06,,,,,6067.0,59.04,71.81,,,
Kepler-1062 b,Confirmed,,,,,,,0.157,0.009,0.008,9.30412078,2.394e-05,2.394e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1062,283.899402,41.221607,,,13.025,12.444,12.333,388.0,,,0.11,0.19,0.142,0.75,0.04,0.03,0.7,0.03,0.02,,,,,4597.0,73.2,61.91,,,
Kepler-1063 b,Confirmed,,,,,,,0.133,0.017,0.036,14.07971466,2.871e-05,2.871e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1063,290.52675,38.142973,,,11.159,10.83,10.793,365.0,,,0.09,0.133,0.146,1.09,0.07,0.11,1.14,0.14,0.3,,,,,5945.0,155.38,188.84,,,
Kepler-1064 b,Confirmed,,,,,,,0.138,0.004,0.006,16.54080322,4.111e-05,4.111e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1064,291.741637,37.688934,,,12.33,11.888,11.817,374.0,,,0.0,0.097,0.101,0.85,0.03,0.03,0.79,0.02,0.02,,,,,5153.0,59.98,80.62,,,
Kepler-1065 b,Confirmed,,,,,,,0.333,0.032,0.057,3.60930891,5.1e-06,5.1e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1065,294.511258,38.790501,,,14.178,13.802,13.671,1078.0,,,-0.01,0.178,0.138,0.94,0.06,0.07,0.93,0.09,0.16,,,,,5635.0,202.38,166.04,,,
Kepler-1065 c,Confirmed,,,,,,,0.143,0.015,0.021,2.37030743,1.691e-05,1.691e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1065,294.511258,38.790501,,,14.178,13.802,13.671,1078.0,,,-0.01,0.178,0.138,0.94,0.06,0.07,0.93,0.09,0.16,,,,,5635.0,202.38,166.04,,,
Kepler-1066 b,Confirmed,,,,,,,0.211,0.029,0.045,1.93155984,1.57e-06,1.57e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1066,298.866564,46.502239,,,11.783,11.403,11.362,399.0,,,-0.03,0.183,0.143,0.98,0.07,0.11,0.98,0.11,0.2,,,,,5762.0,209.47,287.38,,,
Kepler-1067 b,Confirmed,,,,,,,0.071,0.005,0.011,0.76212926,2.73e-06,2.73e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1067,285.387409,45.049053,,,13.105,12.778,12.656,689.0,,,0.03,0.172,0.132,0.95,0.04,0.04,0.93,0.06,0.16,,,,,5592.0,65.87,63.05,,,
Kepler-1068 b,Confirmed,,,,,,,0.324,0.033,0.079,16.92344113,5.446e-05,5.446e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1068,294.648164,46.392365,,,14.638,14.319,14.161,1532.0,,,0.03,0.176,0.142,1.01,0.07,0.07,1.01,0.1,0.25,,,,,5806.0,169.98,123.65,,,
Kepler-1069 b,Confirmed,,,,,,,0.143,0.012,0.028,23.8990296,0.0001497,0.0001497,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1069,290.979329,47.989002,,,11.945,11.628,11.538,435.0,,,0.04,0.161,0.14,0.99,0.05,0.05,0.98,0.08,0.17,,,,,5722.0,104.94,88.79,,,
Kepler-107 b,Confirmed,0.01104,0.00478,0.00478,,,,0.13703,0.000223,0.000223,3.1800218,2.9e-06,2.9e-06,0.04544,0.00035,0.00035,0.0,,,89.05,0.67,0.67,,2014,2019-07-01,,,,,,,,,,2455701.08414,0.00037,0.00037,,,,,,,0.11,0.08,0.08,,,,1.32,0.57,0.57,1593.0,19.0,19.0,,,,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,KOI-117.03,,Kepler-107,297.02825925,48.208611,,,11.392,11.114,11.06,,,,-0.092,,,,,,1.41,0.05,0.05,,,,,5851.0,75.0,75.0,,,
Kepler-107 c,Confirmed,0.02954,0.00557,0.00557,,,,0.14248,0.00232,0.00232,4.901452,1e-05,1e-05,0.0604,0.00047,0.00047,0.0,0.0,0.0,89.49,0.44,0.34,,2014,2019-07-01,,,,,,,,,,2455697.01829,0.00079,0.00079,,,,,,,0.08,0.05,0.07,,,,3.06,0.57,0.57,1379.0,17.0,17.0,,,,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,KOI-117.02,,Kepler-107,297.02825925,48.208611,,,11.392,11.114,11.06,,,,-0.092,,,,,,1.41,0.05,0.05,,,,,5851.0,75.0,75.0,,,
Kepler-107 d,Confirmed,0.012,0.0,0.012,,,,0.0767,0.0054,0.0054,7.95825,0.00011,0.00011,0.08377,0.00065,0.00065,0.0,,,87.55,0.48,0.64,,2014,2019-07-01,,,,,,,,,,,,,,,,,,,0.53,0.14,0.1,,,,1.06,0.0,1.06,1173.0,14.0,14.0,,,,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,KOI-117.04,,Kepler-107,297.02825925,48.208611,,,11.392,11.114,11.06,,,,-0.092,,,,,,1.41,0.05,0.05,,,,,5851.0,75.0,75.0,,,
